ensembl_gene_id,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000001002,SMPDL3A,2274.459114,7.635807697,2.133692783,3.578681878,0.000345332,0.073831045
ENSCAFG00000014645,SLC11A1,5204.766831,4.162993108,1.162639753,3.580638884,0.000342755,0.073831045
ENSCAFG00000017415,ZC3H14,3801.943341,-0.314126155,0.08778562,-3.578332699,0.000345793,0.073831045
ENSCAFG00000005737,SFRP1,71.83779025,8.517856431,2.398902041,3.550731245,0.000384162,0.081035142
ENSCAFG00000009905,MMP9,8419.024523,8.067882818,2.289583221,3.523734252,0.000425511,0.088688605
ENSCAFG00000007742,TFDP2,199.6866703,-0.838413089,0.238683436,-3.512657194,0.000443649,0.089280634
ENSCAFG00000014629,HGFAC,87.08457995,-3.68972389,1.049932048,-3.514250182,0.000440997,0.089280634
ENSCAFG00000031682,NA,71.79205632,3.337210819,0.949519956,3.514629469,0.000440368,0.089280634
ENSCAFG00000029322,SCN2B,276.8365997,-3.905577529,1.115175153,-3.502209961,0.000461416,0.091800781
ENSCAFG00000010570,NA,168.8217953,-2.505232159,0.716608369,-3.495957159,0.000472365,0.091890647
ENSCAFG00000018972,EFCAB5,86.50631178,-1.48650421,0.424916571,-3.498343702,0.000468157,0.091890647
ENSCAFG00000013940,CLEC4E,53.43131261,6.527339002,1.87907443,3.473699019,0.000513337,0.098211327
ENSCAFG00000032695,FGF10,49.30071048,6.034551387,1.737926375,3.472271019,0.000516075,0.098211327
ENSCAFG00000005255,VIPR2,41.09045303,7.312104812,2.112519176,3.461319971,0.000537534,0.101195018
ENSCAFG00000005773,CACNB4,146.8137806,3.149805562,0.917806857,3.431882794,0.000599407,0.111642658
ENSCAFG00000011504,FCGR1A,796.2581941,7.154798472,2.088540922,3.425740141,0.000613127,0.112996018
ENSCAFG00000029471,CLIC2,40.22397854,-4.232142065,1.239086714,-3.415533405,0.000636572,0.116094857
ENSCAFG00000041406,NA,10.59480045,2.95076949,0.865187452,3.410555115,0.000648308,0.117016215
ENSCAFG00000012206,ACKR3,100.1940782,5.211342195,1.538251826,3.387834233,0.000704468,0.125855412
ENSCAFG00000012759,SLC17A9,31.44376463,5.596075246,1.659140924,3.372875181,0.000743877,0.13155346
ENSCAFG00000004998,GPR39,21.75246322,-5.998980912,1.785402376,-3.360016203,0.000779379,0.136453678
ENSCAFG00000003641,NA,9.836842292,-5.677488458,1.692973971,-3.353559213,0.000797793,0.138294724
ENSCAFG00000013108,AP3B2,20.70392699,3.104943669,0.928985466,3.342295207,0.000830886,0.142619211
ENSCAFG00000005040,KLF12,148.3095325,-1.407364408,0.423411736,-3.323867264,0.000887784,0.14526476
ENSCAFG00000005072,FBXL3,840.7007994,-0.955082753,0.28716989,-3.325845735,0.000881507,0.14526476
ENSCAFG00000011850,KLHL24,138.0974915,-1.54500529,0.463831387,-3.330963222,0.00086546,0.14526476
ENSCAFG00000040206,NA,60.71529592,-9.342157849,2.808439782,-3.326458309,0.000879572,0.14526476
ENSCAFG00000049626,NA,36.3244763,-2.525648193,0.757822878,-3.332768467,0.000859865,0.14526476
ENSCAFG00000004160,TNIP3,63.80547195,4.130423897,1.245601863,3.316006519,0.000913137,0.145338203
ENSCAFG00000015293,YDJC,29.51847181,3.291744144,0.992029051,3.318193294,0.000906018,0.145338203
ENSCAFG00000025434,MANSC4,28.68682911,-2.561547575,0.772365484,-3.316496694,0.000911537,0.145338203
ENSCAFG00000010171,PHKG1,90.03145433,-2.306238356,0.697573008,-3.306088869,0.000946081,0.149225063
ENSCAFG00000005852,NA,1057.315526,5.22822257,1.587381277,3.293614864,0.000989079,0.152169504
ENSCAFG00000012918,TNK2,1543.528761,-1.727306242,0.524911241,-3.290663464,0.000999514,0.152169504
ENSCAFG00000013065,ZBTB46,162.0436815,-4.231023275,1.285106705,-3.292351725,0.000993533,0.152169504
ENSCAFG00000043622,NA,1.294300236,-3.754118306,1.13844189,-3.297593263,0.000975173,0.152169504
