gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000018876,POLN,2608.66135,-0.027001393,0.099003342,0.379160907,0.946872952
ENSCAFG00000015675,HDDC3,2062.077714,-0.027005441,0.101903789,0.337922839,0.93598155
ENSCAFG00000003824,ASPDH,2626.887901,-0.027014442,0.100047171,0.364711342,0.945475913
ENSCAFG00000000365,AVIL,175.0873482,-0.0270267,0.09161629,0.452525708,0.956938642
ENSCAFG00000030145,GM2A,445.2836618,-0.027036683,0.099795033,0.367946521,0.945475913
ENSCAFG00000006244,CDK3,399.1191436,-0.027057625,0.093487935,0.437855849,0.955098444
ENSCAFG00000029852,ATG4D,836.4149897,-0.027075377,0.099117999,0.376667739,0.946872952
ENSCAFG00000017644,SOAT1,1589.510852,-0.027085514,0.112922,0.217326909,0.881148977
ENSCAFG00000001774,HNRNPK,2304.520989,-0.027088427,0.100766822,0.353525288,0.939581142
ENSCAFG00000015037,PRPF3,1515.739619,-0.027103198,0.101419236,0.343855065,0.938219208
ENSCAFG00000002860,AASDH,2857.881522,-0.027107075,0.090392653,0.45932738,0.957977741
ENSCAFG00000016620,RPTN,861.3352638,-0.027112013,0.08555118,0.482138758,0.96211682
ENSCAFG00000019358,BST1,973.606737,-0.027135594,0.09783181,0.392339435,0.949456382
ENSCAFG00000047721,NA,79.7392813,-0.027144838,0.100342782,0.358882504,0.942216185
ENSCAFG00000045253,FHOD1,164.2686326,-0.027145603,0.087260562,0.47496237,0.960650732
ENSCAFG00000018576,IFI35,14.87754718,-0.027146222,0.197888033,0.140752716,0.80912699
ENSCAFG00000006500,PRKCQ,4760.274963,-0.027150015,0.09077425,0.456345934,0.957724826
ENSCAFG00000009738,GRK7,178.6196347,-0.027156862,0.185835013,0.137854584,0.80912699
ENSCAFG00000007104,ARHGEF17,14423.24483,-0.0271616,0.090833217,0.455806654,0.957708737
ENSCAFG00000014610,FCGR1A,105.2233797,-0.027161694,0.242601556,NA,NA
ENSCAFG00000031252,C9H17orf75,399.4716597,-0.027167178,0.114478941,0.207619464,0.876128031
ENSCAFG00000000189,POLI,270.8812608,-0.02716741,0.097013435,0.401603401,0.951442009
ENSCAFG00000011153,SSR3,48.76635982,-0.027188719,0.104060096,0.304410514,0.923918032
ENSCAFG00000001990,FOXP4,4097.684411,-0.027190449,0.097225195,0.398847364,0.95077844
ENSCAFG00000031476,NA,59.39009636,-0.027206143,0.105057407,0.290564061,0.91418957
ENSCAFG00000020071,KRT23,769.6068268,-0.02722566,0.102353886,0.328646268,0.930088155
ENSCAFG00000018701,ZNF384,260.9806442,-0.027228735,0.105132535,0.289321698,0.91418957
ENSCAFG00000030461,ZNF839,333.9146722,-0.027230835,0.103717652,0.308781178,0.925514125
ENSCAFG00000019201,C7H1orf112,2631.814969,-0.027231594,0.098767231,0.379260524,0.946872952
ENSCAFG00000009821,HTR1F,27.74338101,-0.027244602,0.256085476,0.169499996,0.849640147
ENSCAFG00000016122,OR51A4,871.8917766,-0.027248726,0.099740314,0.365990605,0.945475913
ENSCAFG00000032613,LIPG,16.86749258,-0.02726053,0.167046394,0.136182933,0.80715614
ENSCAFG00000011035,NA,87.87499014,-0.027266079,0.101235413,0.344540571,0.938219208
ENSCAFG00000029819,PPM1D,170.3890265,-0.02726689,0.141368939,0.1465839,0.816489686
ENSCAFG00000014550,IL19,17.30097166,-0.027289465,0.141368498,0.146404364,0.816489686
ENSCAFG00000004086,FKBP15,246.4192913,-0.027290173,0.112247427,0.21970799,0.883389433
ENSCAFG00000014730,EFS,4699.870404,-0.027295342,0.084297118,0.483566393,0.96211682
ENSCAFG00000025861,SNX22,8.931635885,-0.027307083,0.119286721,0.185635221,0.861825837
ENSCAFG00000004609,PTH2,1245.853952,-0.027322998,0.099967668,0.361902956,0.943991602
ENSCAFG00000010669,CCDC142,2483.115525,-0.027323641,0.097976232,0.388077739,0.948164831
ENSCAFG00000010967,TM9SF3,47.37842376,-0.027326717,0.113065411,0.214180408,0.879839703
ENSCAFG00000004578,STARD3NL,580.3179836,-0.027338108,0.11563327,0.20024867,0.87394462
ENSCAFG00000024225,IGBP1,313.8583745,-0.027340796,0.086645729,0.474717313,0.960355552
ENSCAFG00000000305,PIP4K2C,369.3875112,-0.027344527,0.101223454,0.343755704,0.938219208
ENSCAFG00000029151,CORO2B,6039.08787,-0.027348841,0.098449621,0.381821591,0.946872952
ENSCAFG00000017346,ZP3,22504.92307,-0.027371573,0.090148639,0.45703194,0.957724826
ENSCAFG00000006945,UGGT2,1201.524234,-0.02737463,0.093349387,0.434569286,0.955098444
ENSCAFG00000050043,OR10D4,10.55505833,-0.027387597,0.105605085,0.281477771,0.910541116
ENSCAFG00000004448,GLI3,683.2723779,-0.02739948,0.090439056,0.454891923,0.957497553
ENSCAFG00000018156,HROB,5531.084259,-0.027424661,0.080464846,0.490427331,0.96418909
