gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,
ENSCAFG00000017413,STARD5,1248.930643,-0.065804154,0.10001321,0.010728072,0.65053067,,,,
ENSCAFG00000031607,NDUFV2,511.5955306,0.068851248,0.096056115,0.010795535,0.65053067,,,,
ENSCAFG00000002007,USP49,4918.672497,0.074698684,0.403889023,0.010971823,0.653258865,,,,
ENSCAFG00000009472,GIN1,2406.193412,0.052042086,0.203314033,0.011108989,0.653644223,,,,
ENSCAFG00000046589,NA,4.824599753,0.059112202,0.28682334,0.011104384,0.653644223,,,,
ENSCAFG00000049265,NA,56.64770995,-0.06417777,0.328804771,0.011083449,0.653644223,,,,
ENSCAFG00000016995,RHBDD2,114.5249806,-0.053414432,0.227801982,0.01117638,0.655040631,,,,
ENSCAFG00000012624,NIPSNAP2,572.5373673,0.071528397,0.09256125,0.011220168,0.655048266,,,,
ENSCAFG00000001108,KIF3A,104.3018541,-0.05390727,0.256020641,0.012209038,0.656719221,,,,
ENSCAFG00000001445,DNAJB7,1997.009381,-0.071065373,0.091294181,0.012171027,0.656719221,,,,
ENSCAFG00000003556,EML6,120.0148844,-0.072783071,0.39830225,0.011428593,0.656719221,,,,
ENSCAFG00000003955,COMMD1,15.2041246,0.057518523,0.111663537,0.01178626,0.656719221,,,,
ENSCAFG00000004253,TGFA,2531.758498,0.063040622,0.101122268,0.011644844,0.656719221,,,,
ENSCAFG00000004326,FUT9,1807.027244,0.061611321,0.103482733,0.011635278,0.656719221,,,,
