,ensembl_gene_id,Hugo_Symbol
588,ENSCAFG00000000791,NOTCH4
589,ENSCAFG00000000792,NA
590,ENSCAFG00000000795,PDE10A
591,ENSCAFG00000000797,BTNL2
592,ENSCAFG00000000798,NA
593,ENSCAFG00000000799,ACSL6
594,ENSCAFG00000000801,NA
595,ENSCAFG00000000803,DLA-DRA
596,ENSCAFG00000000804,FBLN1
597,ENSCAFG00000000806,HLA-DQB1
598,ENSCAFG00000000807,TBXT
599,ENSCAFG00000000808,NA
600,ENSCAFG00000000809,RIBC2
601,ENSCAFG00000000810,TRPS1
602,ENSCAFG00000000811,SFT2D1
603,ENSCAFG00000000812,DLA-DQA1
604,ENSCAFG00000000814,HLA-DQB2
605,ENSCAFG00000000816,EIF3H
606,ENSCAFG00000000817,IL3
607,ENSCAFG00000000820,CSF2
608,ENSCAFG00000000821,UTP23
609,ENSCAFG00000000822,RAD21
610,ENSCAFG00000000824,P4HA2
611,ENSCAFG00000000825,SLC30A8
612,ENSCAFG00000000826,MED30
613,ENSCAFG00000000827,SMC1B
614,ENSCAFG00000000828,RPS6KA2
615,ENSCAFG00000000830,PDLIM4
616,ENSCAFG00000000831,EXT1
617,ENSCAFG00000000832,TAP1
618,ENSCAFG00000000833,SAMD12
619,ENSCAFG00000000834,TNFRSF11B
620,ENSCAFG00000000835,NA
621,ENSCAFG00000000838,FAM118A
622,ENSCAFG00000000839,MAL2
623,ENSCAFG00000000840,SLC22A4
624,ENSCAFG00000000842,NA
625,ENSCAFG00000000843,UPK3A
626,ENSCAFG00000000847,CEP43
627,ENSCAFG00000000848,DLA-DMA
628,ENSCAFG00000000850,KIAA0930
629,ENSCAFG00000000851,IRF1
630,ENSCAFG00000000853,GPR31
631,ENSCAFG00000000854,NA
632,ENSCAFG00000000855,IL5
633,ENSCAFG00000000856,NUP50
634,ENSCAFG00000000858,UNC93A
635,ENSCAFG00000000860,AFDN
636,ENSCAFG00000000861,PHF21B
637,ENSCAFG00000000863,KIF25
638,ENSCAFG00000000865,ENPP2
639,ENSCAFG00000000866,DACT2
640,ENSCAFG00000000867,RAD50
641,ENSCAFG00000000868,SMOC2
642,ENSCAFG00000000869,PRR5
643,ENSCAFG00000000870,RTL6
644,ENSCAFG00000000871,BRD2
645,ENSCAFG00000000873,SHISAL1
646,ENSCAFG00000000874,THBS2
647,ENSCAFG00000000875,TAF2
648,ENSCAFG00000000876,PARVG
649,ENSCAFG00000000878,IL13
650,ENSCAFG00000000880,IL4
651,ENSCAFG00000000882,DSCC1
652,ENSCAFG00000000883,NA
653,ENSCAFG00000000884,WDR27
654,ENSCAFG00000000885,DEPTOR
655,ENSCAFG00000000886,DSE
656,ENSCAFG00000000887,SAMM50
657,ENSCAFG00000000889,CALHM5
658,ENSCAFG00000000891,CALHM4
659,ENSCAFG00000000893,PNPLA3
660,ENSCAFG00000000894,NA
661,ENSCAFG00000000895,PNPLA5
662,ENSCAFG00000000896,DLA-DOA
663,ENSCAFG00000000897,RSPH4A
664,ENSCAFG00000000898,KIF3A
665,ENSCAFG00000000899,SULT4A1
666,ENSCAFG00000000900,NA
667,ENSCAFG00000000901,ZUP1
668,ENSCAFG00000000902,EFCAB6
669,ENSCAFG00000000903,COL11A2
670,ENSCAFG00000000904,MPPED1
671,ENSCAFG00000000905,KPNA5
672,ENSCAFG00000000906,SEPTIN8
673,ENSCAFG00000000907,SCUBE1
674,ENSCAFG00000000908,FAM162B
675,ENSCAFG00000000909,TTLL12
676,ENSCAFG00000000910,SOWAHA
677,ENSCAFG00000000911,GPRC6A
678,ENSCAFG00000000912,RXRB
679,ENSCAFG00000000913,TSPO
680,ENSCAFG00000000914,SHROOM1
681,ENSCAFG00000000915,RFX6
682,ENSCAFG00000000916,GDF9
683,ENSCAFG00000000917,SLC39A7
684,ENSCAFG00000000918,MCAT
685,ENSCAFG00000000919,UQCRQ
686,ENSCAFG00000000920,VGLL2
687,ENSCAFG00000000922,LEAP2
688,ENSCAFG00000000923,ROS1
689,ENSCAFG00000000925,DCBLD1
690,ENSCAFG00000000926,TTLL1
691,ENSCAFG00000000928,GOPC
692,ENSCAFG00000000929,NA
693,ENSCAFG00000000930,AFF4
694,ENSCAFG00000000931,NUS1
695,ENSCAFG00000000932,SLC35F1
696,ENSCAFG00000000933,RING1
697,ENSCAFG00000000934,COL14A1
698,ENSCAFG00000000935,CEP85L
699,ENSCAFG00000000936,PACSIN2
700,ENSCAFG00000000938,MCM9
701,ENSCAFG00000000939,ASF1A
702,ENSCAFG00000000940,MRPL13
703,ENSCAFG00000000941,VPS52
704,ENSCAFG00000000942,FAM184A
705,ENSCAFG00000000943,ARFGAP3
706,ENSCAFG00000000945,MAN1A1
707,ENSCAFG00000000946,A4GALT
708,ENSCAFG00000000948,HSPA4
709,ENSCAFG00000000950,RPS18
710,ENSCAFG00000000951,MTBP
711,ENSCAFG00000000953,CYB5R3
