gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,source_file
ENSCAFG00000008302,MEF2C,805.2394218,-0.505818774,1.072817278,0.002710036,0.20604281,ccl2
ENSCAFG00000014316,,21.8996901,0.4736671,1.006600946,0.00269907,0.20604281,ccl2
ENSCAFG00000013772,UNC80,5.031009863,0.639841831,1.361803129,0.002752806,0.20725275,ccl2
ENSCAFG00000047157,,74.21472449,-0.608092959,1.29043631,0.002746677,0.20725275,ccl2
ENSCAFG00000004730,PLAUR,5779.92268,0.275321897,0.5897016,0.002790847,0.209096758,ccl2
ENSCAFG00000017463,PIAS1,867.9615931,-0.186705917,0.172228248,0.002804546,0.209108012,ccl2
ENSCAFG00000000119,PAN2,914.3620744,-0.183481005,0.180164069,0.00283021,0.209721506,ccl2
ENSCAFG00000011588,SV2A,102.176907,0.38846341,0.849386469,0.002867127,0.209721506,ccl2
ENSCAFG00000020118,SH2D3C,213.4225326,-0.57140537,1.230049877,0.002854896,0.209721506,ccl2
ENSCAFG00000046588,C1orf54,55.47568441,0.514318561,1.108726615,0.002848237,0.209721506,ccl2
ENSCAFG00000004473,ESD,851.6026916,0.184164832,0.174864246,0.002894112,0.210696805,ccl2
ENSCAFG00000005472,SLC20A2,308.501208,0.193814042,0.361444523,0.00292915,0.212246461,ccl2
ENSCAFG00000015043,MMP13,1709.597888,0.69084406,1.562605969,0.002996023,0.215313971,ccl2
ENSCAFG00000017652,GRAMD2A,13.80338074,0.36823748,0.818170147,0.002999385,0.215313971,ccl2
ENSCAFG00000031346,RHOU,116.1575847,0.341905599,0.761936273,0.003019484,0.215753317,ccl2
ENSCAFG00000020198,LRRC8C,2937.198552,0.348576755,0.778523637,0.003040464,0.216251228,ccl2
ENSCAFG00000004836,PCDH8,82.89224842,0.664937022,1.502548527,0.003065983,0.217066004,ccl2
ENSCAFG00000000145,RAB27B,69.19777955,0.653402254,1.492187916,0.003149772,0.217353084,ccl2
ENSCAFG00000005173,NKX2-2,132.771787,0.698402813,1.703077073,0.00310738,0.217353084,ccl2
ENSCAFG00000009838,SIRT5,5190.306467,-0.179486132,0.175912332,0.003154535,0.217353084,ccl2
ENSCAFG00000014040,CDCP1,1114.169059,0.539117482,1.201009143,0.003127473,0.217353084,ccl2
ENSCAFG00000014698,CRLF1,2739.930646,0.633612159,1.432507563,0.003141189,0.217353084,ccl2
ENSCAFG00000048854,MESD,4588.909981,0.190698868,0.154546298,0.003103832,0.217353084,ccl2
ENSCAFG00000002085,,35.02121691,-0.173113829,0.277622647,0.003173445,0.217684217,ccl2
ENSCAFG00000016755,CRABP2,477.816442,0.629455148,1.434548716,0.003197562,0.218367986,ccl2
ENSCAFG00000011458,IRAG2,201.4609782,-0.593396591,1.345459771,0.003227563,0.219445881,ccl2
ENSCAFG00000000190,RPS12,20337.21809,-0.167779432,0.219700824,0.00335159,0.219458676,ccl2
ENSCAFG00000001388,,200.866538,-0.175818726,0.177656602,0.003349892,0.219458676,ccl2
ENSCAFG00000002237,,686.8199308,-0.182768579,0.161880858,0.00336627,0.219458676,ccl2
ENSCAFG00000004733,DGKH,267.3408005,0.177413217,0.327623561,0.003391087,0.219458676,ccl2
ENSCAFG00000008341,SPON1,536.2480666,0.66034774,1.659650108,0.003371054,0.219458676,ccl2
ENSCAFG00000011943,TRAF3IP3,541.5013942,-0.386531982,0.884340363,0.003292818,0.219458676,ccl2
ENSCAFG00000012149,ARNT,2003.874884,-0.168402762,0.239070588,0.003288567,0.219458676,ccl2
ENSCAFG00000012326,MINDY1,254.5213184,0.265383769,0.606247081,0.003376698,0.219458676,ccl2
ENSCAFG00000012376,VASH2,4385.205867,0.397854905,0.916105443,0.003366064,0.219458676,ccl2
ENSCAFG00000013382,PPM1J,1062.809687,-0.46409354,1.06727891,0.003398382,0.219458676,ccl2
ENSCAFG00000014290,ANKH,1372.25924,0.261575565,0.595220222,0.003358124,0.219458676,ccl2
ENSCAFG00000041153,,12.47063162,0.536064825,1.219666594,0.003304104,0.219458676,ccl2
ENSCAFG00000015008,GORAB,270.8699507,0.16721501,0.262801951,0.003435121,0.220906914,ccl2
ENSCAFG00000004857,,1167.103198,-0.165151273,0.23472869,0.003489936,0.223500735,ccl2
ENSCAFG00000002850,OSBPL3,1442.870726,0.29275567,0.688559677,0.003583856,0.223524498,ccl2
ENSCAFG00000004148,RPN1,12132.42326,0.175824993,0.168870122,0.003606168,0.223524498,ccl2
ENSCAFG00000013196,TM6SF1,602.7895645,-0.165306815,0.267722058,0.003584336,0.223524498,ccl2
ENSCAFG00000013656,,38.77004841,-0.166841858,0.196911568,0.003597135,0.223524498,ccl2
ENSCAFG00000013990,,47.33888126,-0.243819757,0.560378646,0.003554665,0.223524498,ccl2
ENSCAFG00000014068,ZDHHC3,2222.24777,0.1635153,0.234203435,0.003597659,0.223524498,ccl2
ENSCAFG00000020342,IFI44,482.6161851,-0.510891269,1.191840368,0.003532968,0.223524498,ccl2
ENSCAFG00000031079,ZFP36L2,1065.569679,0.170868143,0.308609296,0.003575968,0.223524498,ccl2
ENSCAFG00000005378,HGSNAT,1205.17641,0.167154132,0.186693989,0.003746586,0.230755547,ccl2
ENSCAFG00000029267,CDC42EP5,28.19500565,0.534400645,1.282494035,0.00375273,0.230755547,ccl2
ENSCAFG00000009354,TOX2,263.6516872,0.467769354,1.123585241,0.003828673,0.231086652,ccl2
ENSCAFG00000012403,COL7A1,1191.780572,0.329009057,0.792098187,0.00381026,0.231086652,ccl2
ENSCAFG00000024995,SLCO4C1,7.669615811,-0.447708703,1.071491711,0.003793516,0.231086652,ccl2
ENSCAFG00000032101,,296.2155099,-0.190913908,0.141562614,0.003782118,0.231086652,ccl2
ENSCAFG00000048925,,2.04252729,-0.416052018,1.000210667,0.003832978,0.231086652,ccl2
ENSCAFG00000004823,SUGT1,979.2699008,0.159784444,0.218786436,0.003898246,0.234107116,ccl2
ENSCAFG00000014439,PHB2,8161.283934,-0.168754355,0.326426089,0.003927333,0.234562225,ccl2
ENSCAFG00000030542,FEN1,1110.868736,0.173753945,0.164575475,0.00393622,0.234562225,ccl2
ENSCAFG00000006371,NRG1,2047.189747,0.458874185,1.123134322,0.004024933,0.23892624,ccl2
