gene,Hugo_Symbol (add = in front),log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000045623,SMIM2,-0.119253096,0.563401357,0.008416021,0.504257119
ENSCAFG00000032751,CLEC2B,-0.14601156,0.677019019,0.008490093,0.506676628
ENSCAFG00000030465,FTH1,0.058855352,0.300983044,0.008575761,0.509766311
ENSCAFG00000010220,NA,-0.155442855,0.72141479,0.008618981,0.510318303
ENSCAFG00000009117,CRYBG3,-0.035010826,0.14764173,0.008714733,0.510890123
ENSCAFG00000018932,FHL1,-0.163216505,0.759907007,0.008730551,0.510890123
ENSCAFG00000020403,NAE1,-0.03656485,0.128075331,0.008675037,0.510890123
ENSCAFG00000010459,SLC6A18,0.053568524,0.277113686,0.008832669,0.514862417
ENSCAFG00000009069,TMEM106C,0.034562462,0.138966248,0.008879201,0.515576483
ENSCAFG00000013745,BLOC1S6,0.040756834,0.20519584,0.008978197,0.517329913
ENSCAFG00000025105,NA,-0.078173773,0.396159503,0.00896113,0.517329913
ENSCAFG00000004147,PIWIL4,0.106931629,0.524998616,0.009162909,0.525957964
ENSCAFG00000007035,MFSD5,0.03475615,0.12588473,0.009317477,0.526273918
ENSCAFG00000010677,EYA2,0.173025057,0.830140036,0.009283328,0.526273918
ENSCAFG00000013464,HOXD3,-0.090420071,0.453956483,0.009208777,0.526273918
ENSCAFG00000018726,BCORL1,-0.06628957,0.344774656,0.009257594,0.526273918
ENSCAFG00000020088,LCN2,0.140558837,0.675617663,0.009371795,0.526273918
ENSCAFG00000046744,NA,-0.044269338,0.23196303,0.009413371,0.526273918
ENSCAFG00000047157,NA,0.112384434,0.552691038,0.009402293,0.526273918
ENSCAFG00000037122,NA,-0.170564731,0.828912811,0.009558808,0.530460955
ENSCAFG00000049626,NA,-0.071995904,0.374878111,0.009537282,0.530460955
ENSCAFG00000008391,HEY1,-0.0846386,0.434463055,0.009670218,0.530853447
ENSCAFG00000016084,NA,0.058540836,0.311369638,0.009671776,0.530853447
ENSCAFG00000017397,ZNF711,-0.138974536,0.675279779,0.009652426,0.530853447
ENSCAFG00000029815,COMMD6,-0.03411216,0.121450638,0.00987899,0.536354288
ENSCAFG00000031891,NA,0.066186113,0.350460657,0.009817972,0.536354288
ENSCAFG00000045923,NA,0.038009169,0.115599786,0.009851538,0.536354288
ENSCAFG00000004143,GATA2,-0.098174879,0.499846099,0.010008841,0.541449518
ENSCAFG00000005627,JAG1,-0.108268324,0.546735566,0.010123028,0.542086722
ENSCAFG00000010895,NA,0.118271316,0.591715648,0.010128756,0.542086722
ENSCAFG00000017455,GAS7,0.164071866,0.814457561,0.010082173,0.542086722
ENSCAFG00000011952,NA,0.033341871,0.119525699,0.010296628,0.543237779
ENSCAFG00000012942,SRMS,-0.129250991,0.642961666,0.010195123,0.543237779
ENSCAFG00000013049,EGR2,0.091117208,0.472372077,0.010321916,0.543237779
ENSCAFG00000013314,NCF2,0.065666866,0.353320612,0.010330873,0.543237779
ENSCAFG00000046381,NA,0.03396041,0.118328849,0.010265743,0.543237779
ENSCAFG00000032673,NA,-0.103393788,0.528930161,0.010385597,0.544212532
ENSCAFG00000006526,LMNTD2,-0.119523999,0.604308323,0.010504313,0.546624108
ENSCAFG00000009810,JAM3,-0.066970662,0.361354688,0.010495281,0.546624108
ENSCAFG00000015050,NDST2,-0.031029403,0.128784946,0.010589372,0.547263117
ENSCAFG00000020377,EXOC3L1,0.043730636,0.239935559,0.010575793,0.547263117
ENSCAFG00000041406,NA,0.091842488,0.479951205,0.010643804,0.548192335
ENSCAFG00000041540,NA,-0.074061967,0.397471279,0.010685102,0.548441098
ENSCAFG00000031109,NA,0.033198562,0.115758668,0.010802359,0.552573752
ENSCAFG00000001436,SOX10,0.144111734,0.742636405,0.011259525,0.56105388
ENSCAFG00000005339,NA,-0.068195363,0.374747005,0.011235293,0.56105388
